,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,id.y,prcp,tmax,tmin,tavg
1,5/9/1930,hopewell,hopewell2,"Hopewell, Fanquier County, Virginia",37.304315,-77.2872,15,5,9,1930,USC00444101,0,333,183,258
2,5/9/1930,hopewell,hopewell2,"Hopewell, Fanquier County, Virginia",37.304315,-77.2872,15,5,9,1930,USC00449146,0,322,172,247
3,5/9/1930,hopewell,hopewell2,"Hopewell, Fanquier County, Virginia",37.304315,-77.2872,15,5,9,1930,USC00447196,0,#N/A,#N/A,#N/A
4,5/9/1930,hopewell,hopewell2,"Hopewell, Fanquier County, Virginia",37.304315,-77.2872,15,5,9,1930,USW00013780,20,283,183,233
5,4/23/1931,richmond,richmond7,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,4,23,1931,USC00446906,0,#N/A,#N/A,#N/A
6,4/23/1931,richmond,richmond7,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,4,23,1931,USC00444101,10,161,39,100
7,4/23/1931,richmond,richmond7,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,4,23,1931,USW00013780,0,144,44,94
8,5/20/1931,richmond,richmond8,"Richmond City, N/A, Virginia",37.54129,-77.434769,50.7,5,20,1931,USC00446906,28,#N/A,#N/A,#N/A
9,5/20/1931,richmond,richmond8,"Richmond City, N/A, Virginia",37.54129,-77.434769,50.7,5,20,1931,USC00444101,0,289,178,233.5
10,5/20/1931,richmond,richmond8,"Richmond City, N/A, Virginia",37.54129,-77.434769,50.7,5,20,1931,USW00013780,0,278,178,228
11,4/1/1932,richmond,richmond7.5,"Richmond City, N/A, Virginia",37.54129,-77.434769,50.7,4,1,1932,USW00013780,0,144,39,91.5
12,4/1/1932,richmond,richmond7.5,"Richmond City, N/A, Virginia",37.54129,-77.434769,50.7,4,1,1932,USC00446906,0,#N/A,#N/A,#N/A
13,4/1/1932,richmond,richmond7.5,"Richmond City, N/A, Virginia",37.54129,-77.434769,50.7,4,1,1932,USC00444101,20,183,28,105.5
14,4/25/1932,richmond,richmond5,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,4,25,1932,USC00446906,10,#N/A,#N/A,#N/A
15,4/25/1932,richmond,richmond5,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,4,25,1932,USC00444101,0,267,94,180.5
16,4/25/1932,richmond,richmond5,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,4,25,1932,USW00013780,0,239,89,164
17,4/29/1932,middlesexcounty,middlesexcounty,"N/A. Middlesex County, Virginia",37.6334553,-76.55146282,9,4,29,1932,USC00441690,0,244,67,155.5
18,4/29/1932,middlesexcounty,middlesexcounty,"N/A. Middlesex County, Virginia",37.6334553,-76.55146282,9,4,29,1932,USC00448331,0,272,44,158
19,4/29/1932,middlesexcounty,middlesexcounty,"N/A. Middlesex County, Virginia",37.6334553,-76.55146282,9,4,29,1932,USC00449146,0,256,72,164
20,3/29/1935,richmond,richmond6,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,3,29,1935,USW00013780,0,167,39,103
21,3/29/1935,richmond,richmond6,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,3,29,1935,USC00448829,0,161,6,83.5
22,3/29/1935,richmond,richmond6,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,3,29,1935,USC00444101,0,189,33,111
23,3/29/1935,richmond,richmond6,"Richmond, Henrico County, Virginia",37.54129,-77.434769,50.7,3,29,1935,USC00446906,0,#N/A,#N/A,#N/A
24,10/11/1935,exmore,exmore,"Exmore, Northamptom County, Virginia",37.352637,-75.945765,986,10,11,1935,USC00446362,0,261,122,191.5
25,10/11/1935,exmore,exmore,"Exmore, Northamptom County, Virginia",37.352637,-75.945765,986,10,11,1935,USW00013702,0,267,122,194.5
26,5/22/1938,pocomokecity,pocomokecity,"Pocomoke City, Accomac County, Virginia",38.068904,-75.561718,2,5,22,1938,USC00187330,107,267,144,205.5
27,5/22/1938,pocomokecity,pocomokecity,"Pocomoke City, Accomac County, Virginia",38.068904,-75.561718,2,5,22,1938,USC00188380,102,267,161,214
28,5/22/1938,pocomokecity,pocomokecity,"Pocomoke City, Accomac County, Virginia",38.068904,-75.561718,2,5,22,1938,USC00446362,25,267,139,203
29,5/22/1938,pocomokecity,pocomokecity,"Pocomoke City, Accomac County, Virginia",38.068904,-75.561718,2,5,22,1938,USC00182205,28,283,156,219.5
30,5/22/1938,pocomokecity,pocomokecity,"Pocomoke City, Accomac County, Virginia",38.068904,-75.561718,2,5,22,1938,USC00188000,152,294,178,236
31,2/20/1939,williamsburg,williamsburg4,"Williamsburg, James City County, Virginia",37.270702,-76.707457,301,2,20,1939,USC00449146,30,233,167,200
32,2/20/1939,williamsburg,williamsburg4,"Williamsburg, James City County, Virginia",37.270702,-76.707457,301,2,20,1939,USW00013702,43,244,156,200
