,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00185080,0,144,0,72
2,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00189195,28,144,11,77.5
3,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00181685,0,111,11,61
4,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USW00013760,3,111,22,66.5
5,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00181710,25,150,0,75
6,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00443635,61,#N/A,#N/A,#N/A
7,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USW00013773,13,111,6,58.5
8,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00446979,13,111,6,58.5
9,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00186770,15,122,11,66.5
10,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00440097,86,161,17,89
11,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00184485,0,111,11,61
12,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USW00013705,15,100,17,58.5
13,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00442809,94,139,11,75
14,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00188289,18,106,17,61.5
15,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USW00013710,10,100,22,61
16,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USW00013743,20,106,22,64
17,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USW00013751,#N/A,111,11,61
18,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00182585,74,111,11,61
19,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00440216,132,133,6,69.5
20,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00442922,152,117,17,67
21,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00448938,157,111,11,61
22,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00185200,0,133,22,77.5
23,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00441729,127,#N/A,#N/A,#N/A
24,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00186350,122,139,17,78
25,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00442890,165,#N/A,#N/A,#N/A
26,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00189035,127,144,17,80.5
27,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00181135,#N/A,128,28,78
28,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00182325,127,128,17,72.5
29,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00189400,122,111,11,61
30,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00443192,33,172,-6,83
31,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00181170,130,#N/A,#N/A,#N/A
32,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00181180,114,117,22,69.5
33,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00448737,142,#N/A,#N/A,#N/A
34,3/28/1952,laplata,laplata,Charles County_Maryland_La Plata,38.529288,-76.975251,57,3,28,1952,9/30/1951,USC00187615,124,117,11,64
35,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00181980,0,300,156,228
36,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00181750,0,322,144,233
37,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00185985,0,311,106,208.5
38,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00187700,0,317,128,222.5
39,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00075852,0,306,106,206
40,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00182860,0,322,111,216.5
41,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00181627,0,317,133,225
42,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00180732,0,311,133,222
43,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00182060,0,322,106,214
44,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00076410,0,317,122,219.5
45,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00185340,0,#N/A,#N/A,#N/A
46,5/4/1965,kennedyville,kennedyville,Kent County_Maryland_Kennedyville,39.356642,-76.02962,21,5,4,1965,11/30/1964,USC00188877,0,311,189,250
47,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00185340,0,#N/A,#N/A,#N/A
48,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00180732,10,228,78,153
49,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00188877,0,228,83,155.5
50,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USW00013777,0,256,111,183.5
51,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USW00013701,0,211,78,144.5
52,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00186844,0,222,56,139
53,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00181980,0,222,94,158
54,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00182060,0,228,61,144.5
55,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00181980,0,222,94,158
56,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00182060,0,228,61,144.5
57,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USW00093721,0,239,83,161
58,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00189750,8,228,56,142
59,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00181862,8,228,50,139
60,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00189435,33,222,72,147
61,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00183230,0,239,72,155.5
62,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00181750,0,222,94,158
63,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USW00093733,0,#N/A,#N/A,#N/A
64,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00185340,0,#N/A,#N/A,#N/A
65,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00180732,10,228,78,153
66,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00188877,0,228,83,155.5
67,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USW00013777,0,256,111,183.5
68,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USW00013701,0,211,78,144.5
69,4/25/1970,carney,carney2,Baltimore County_Maryland_Carney and Long Green,39.45,-76.4833,108,4,25,1970,10/31/1969,USC00186844,0,222,56,139
