,date,id.x,id2,city_county_state,latitude,longitude,elevation,month,day,year,previous6mon,id.y,prcp,tmax,tmin,tavg
1,5/10/1927,browkenbow,browkenbow,Custer County_Nebraska_Broken Bow,41.405562,-99.644835,755,5,10,1927,11/30/1926,USC00251200,0,222,11,116.5
2,5/10/1927,browkenbow,browkenbow,Custer County_Nebraska_Broken Bow,41.405562,-99.644835,755,5,10,1927,11/30/1926,USC00255250,0,#N/A,#N/A,#N/A
3,5/10/1927,browkenbow,browkenbow,Custer County_Nebraska_Broken Bow,41.405562,-99.644835,755,5,10,1927,11/30/1926,USC00250320,0,#N/A,#N/A,#N/A
4,5/10/1927,browkenbow,browkenbow,Custer County_Nebraska_Broken Bow,41.405562,-99.644835,755,5,10,1927,11/30/1926,USC00258455,0,#N/A,#N/A,#N/A
5,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00351857,0,#N/A,#N/A,#N/A
6,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00356614,0,#N/A,#N/A,#N/A
7,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00351862,0,128,17,72.5
8,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00350078,0,100,-11,44.5
9,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00351877,0,#N/A,#N/A,#N/A
10,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00358271,0,#N/A,#N/A,#N/A
11,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00354238,#N/A,#N/A,#N/A,#N/A
12,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00358182,0,#N/A,#N/A,#N/A
13,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00359083,0,#N/A,#N/A,#N/A
14,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00353678,0,#N/A,#N/A,#N/A
15,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00352800,0,89,-11,39
16,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00354603,0,122,17,69.5
17,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00352112,3,89,-39,25
18,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USW00024232,0,122,11,66.5
19,3/19/1943,corvallis,corvallis,Benton County_Oregon_Corvallis,44.56472,-123.26083,71,3,19,1943,9/30/1942,USC00353971,10,#N/A,#N/A,#N/A
20,9/25/1952,pocatello,pocatello,Bannock County_Idaho_Pocatello,42.8667,-112.4333,1360,9,25,1952,3/31/1952,USW00024156,0,306,56,181
21,9/25/1952,pocatello,pocatello,Bannock County_Idaho_Pocatello,42.8667,-112.4333,1360,9,25,1952,3/31/1952,USC00103297,0,306,39,172.5
22,9/25/1952,pocatello,pocatello,Bannock County_Idaho_Pocatello,42.8667,-112.4333,1360,9,25,1952,3/31/1952,USC00108626,0,322,28,175
23,9/25/1952,pocatello,pocatello,Bannock County_Idaho_Pocatello,42.8667,-112.4333,1360,9,25,1952,3/31/1952,USC00105716,0,306,28,167
24,9/25/1952,pocatello,pocatello,Bannock County_Idaho_Pocatello,42.8667,-112.4333,1360,9,25,1952,3/31/1952,USC00100010,0,294,22,158
25,9/25/1952,pocatello,pocatello,Bannock County_Idaho_Pocatello,42.8667,-112.4333,1360,9,25,1952,3/31/1952,USC00100227,0,300,39,169.5
26,9/25/1952,pocatello,pocatello,Bannock County_Idaho_Pocatello,42.8667,-112.4333,1360,9,25,1952,3/31/1952,USC00100915,0,311,44,177.5
